R1	000	3
R2	001	3
R3	010	3
R4	011	3
R5	100	3
R6	101	3
R7	110	3
R8	111	3
ARI	0000000000000	13
SRI	0000000000001	13
MRI	0000000000010	13
DRI	0000000000011	13
MODI	0000000000100	13
CRI	0000000000101	13
CORI	0000000000110	13
IN  	0000000000111	13
OUT	0000000001000	13
JPC	0000000010000000	16
JPNC	0000000010000001	16
JPZ	0000000010000010	16
JPNZ	0000000010000011	16
JPP	0000000010000100	16
JPN	0000000010000101	16
ARR	00000001000000000000000	23
SRR	00000001000000000000001	23
MRR	00000001000000000000011	23
DRR	00000001000000000000100	23
MOD	00000001000000000000101	23
AND	00000001000000000000110	23
OR	00000001000000000000111	23
XOR	00000001000000000001000	23
ARM	00000001000000000001001	23
NOT	00000010000000000000000000	26
CRR	00000010000000000000000001	26
RRR	00000010000000000000000010	26
RRL	00000010000000000000000011	26
SRL	00000010000000000000000100	26
SRR	00000010000000000000000101	26
CORR	00000010000000000000000110	26
IC	00000100000000000000000000000	29
DC	00000100000000000000000000001	29
END	11111111111111111111111111111111	32
RTN	11111111111111111111111111111110	32
